Date,VEGA,VEGA_C130,VEGA_P110,TERRA,SOLACE,ANCHOR,NEON,HELIX,CERES,PRISM
2016-01-04,100.0,1.4087,12.7217,50.0,48.0,100.062,1000.0,75.0,200.0,100.0
2016-01-05,100.7781,1.5478,12.3221,50.9983,48.9488,100.1361,1010.0853,75.7656,198.275,100.8696
2016-01-06,100.6386,1.5753,12.3878,51.0194,48.7913,100.175,983.3262,76.7771,200.8918,101.2882
2016-01-07,101.6446,1.5256,11.659,51.4011,49.2491,99.5505,923.0906,77.7804,201.1413,102.1105
2016-01-08,104.0766,1.8992,10.5479,51.4932,49.1255,99.9849,926.7353,77.3195,194.586,102.0767
2016-01-11,103.867,1.7751,10.7708,51.296,48.8568,100.6471,919.6953,77.8645,191.6661,101.7337
2016-01-12,103.5235,1.7373,10.6948,49.6716,47.9696,99.8088,1275.4165,79.6994,197.8522,101.9819
2016-01-13,106.0193,2.7857,9.7332,50.0067,47.9903,100.0972,1254.5353,79.3213,200.39,102.9925
2016-01-14,107.4084,2.8271,9.0163,49.353,47.2466,100.9757,1349.5154,77.5388,201.9623,102.6811
2016-01-15,106.7566,2.2724,9.153,48.6793,46.5971,101.3522,1161.3416,76.6666,202.1115,101.8471
2016-01-18,107.6286,2.4617,8.8184,48.5256,46.3672,101.5513,1348.6371,76.941,198.478,101.6966
2016-01-19,106.9588,2.5618,9.3165,49.8248,46.9736,100.6109,1397.6106,77.9197,199.9551,102.5065
2016-01-20,106.213,2.3922,9.5458,51.585,48.1258,99.9901,1505.6042,78.1003,200.9623,103.3211
2016-01-21,106.594,2.4598,9.2693,51.4619,48.3878,99.2417,1406.1365,74.1177,205.5669,102.8555
2016-01-22,103.628,1.7375,10.6793,51.0592,48.6216,98.6629,1388.9354,73.6156,205.3053,101.737
2016-01-25,100.871,1.3031,12.1983,50.452,48.0293,98.1293,1381.9021,70.1198,203.2589,99.4077
2016-01-26,99.9208,1.2299,12.665,50.7713,48.1967,98.6085,1373.4997,68.3296,205.3027,98.921
2016-01-27,98.3974,0.9962,13.3771,51.7417,49.0463,98.7934,1449.8474,69.2628,203.3663,99.1277
2016-01-28,98.8166,0.6901,13.6109,51.6728,49.3969,99.4518,1612.3099,69.8114,201.4711,99.2939
2016-01-29,97.5298,0.836,14.1715,49.9586,48.5885,99.5872,1546.5479,73.5909,194.5247,98.469
2016-02-01,95.4519,0.5377,15.5427,50.7613,48.8819,99.1665,1554.6839,74.3977,199.2047,98.88
2016-02-02,97.499,0.8767,14.1499,51.737,49.084,99.1344,1501.7549,74.6306,207.3894,100.6339
2016-02-03,97.3028,1.2699,14.1853,50.8065,48.2662,98.2425,1549.8947,73.8897,203.7328,99.5254
2016-02-04,97.4208,0.881,14.1686,51.2037,48.2975,99.1272,1647.3155,72.8977,203.3382,99.3375
2016-02-05,95.3953,0.5857,15.3157,51.5209,48.2207,98.6446,1638.8897,73.7625,197.5574,98.4234
2016-02-08,94.5496,0.6979,16.3502,51.6324,48.0599,99.6477,1828.2034,70.3074,195.25,96.9407
2016-02-09,94.6935,0.6364,15.8242,51.4098,47.8495,99.5342,1607.3726,70.2597,193.384,96.6366
2016-02-10,93.1076,0.5115,16.9549,52.1471,48.1443,99.1327,1687.0219,68.7879,196.3251,96.3032
2016-02-11,93.5835,0.5646,16.6824,51.824,48.1025,99.2631,1682.8307,70.5001,206.0599,97.7635
2016-02-12,92.7957,0.7271,17.4485,50.4901,47.6359,98.9324,1700.9048,69.0255,207.8595,96.7719
2016-02-15,92.3794,0.2197,17.5939,49.1488,46.5886,99.5853,1838.787,68.0301,213.7816,96.2321
2016-02-16,91.5563,0.4115,18.0475,50.1284,47.024,100.7015,1821.7476,68.9847,212.5414,96.5344
2016-02-17,94.1221,0.3472,16.4854,50.7259,46.9726,100.2981,1996.6154,67.4956,216.187,97.4732
2016-02-18,94.2632,0.5731,16.3182,50.889,47.2233,99.2566,1897.7507,70.7554,220.9863,98.954
2016-02-19,92.8143,0.2559,17.323,50.4917,47.2907,99.8174,1938.9954,71.5385,214.8004,97.9655
2016-02-22,93.9225,0.393,16.5452,49.7532,46.9123,99.1041,1899.4468,73.3521,213.9399,98.4026
2016-02-23,92.301,0.3113,17.9128,48.9676,46.0562,99.1428,1733.9177,72.9999,213.6186,97.2724
2016-02-24,92.5385,0.5098,17.709,48.6369,45.9183,100.0373,1743.6666,74.6822,213.6934,97.6374
2016-02-25,89.8964,0.3761,19.3597,47.2579,44.8519,100.7685,1763.9518,73.8414,215.4865,96.0556
2016-02-26,88.0238,0.01,21.1231,46.9261,44.2634,100.7322,1740.6532,73.3531,215.621,95.0251
2016-02-29,88.2187,0.1833,20.8162,47.1119,43.7516,101.0787,1683.3498,76.7352,216.9875,95.9997
2016-03-01,89.238,0.0979,20.0141,47.5128,43.7972,101.8832,1811.772,79.3335,222.2572,97.5838
2016-03-02,89.5462,0.0229,19.506,47.4493,43.6193,103.1482,1920.8067,79.429,224.8726,97.6853
2016-03-03,89.4333,0.1719,19.7762,47.8949,43.9964,103.6339,1875.3528,80.3036,221.0186,97.7981
2016-03-04,89.0514,0.1425,20.001,48.769,44.5681,103.4325,1965.9711,80.316,220.2348,98.0843
2016-03-07,87.1057,0.4963,21.7796,49.2835,45.0393,103.4573,2006.1867,77.842,215.0376,96.6567
2016-03-08,86.1019,0.1731,22.6487,49.6122,45.2841,103.8624,1745.9221,76.9213,218.6918,96.6053
2016-03-09,85.4854,0.01,22.7957,49.7119,45.3751,103.7316,1779.5435,80.7457,221.2768,97.6871
2016-03-10,86.8467,0.0348,21.8947,49.1257,45.0021,103.1224,1771.5903,82.4293,220.8084,98.237
2016-03-11,87.3913,0.2828,21.58,49.6939,45.296,102.7127,1686.9079,82.8419,221.2932,98.849
2016-03-14,85.1627,0.397,23.3048,50.8817,46.1928,102.855,1687.1557,82.3295,216.967,98.2974
2016-03-15,85.4943,0.01,23.1324,50.7501,46.5435,102.1854,1482.0293,81.7711,217.9193,98.4297
2016-03-16,85.0439,0.01,23.4763,52.1662,47.3886,102.8658,1686.2503,83.7396,220.8919,99.7518
2016-03-17,84.1879,0.3455,24.2217,51.0073,46.7844,103.1322,1742.4902,83.8773,221.9708,99.0349
2016-03-18,84.9466,0.1324,23.4906,50.0304,46.5722,103.1322,1605.8047,83.3274,219.6894,98.5823
2016-03-21,86.3353,0.01,22.189,50.3692,46.7232,104.0614,2566.4171,82.5363,222.6402,99.2061
2016-03-22,87.6476,0.1993,21.1001,50.6328,46.4352,104.3388,2643.6308,80.9126,226.0251,99.4505
2016-03-23,86.643,0.01,22.162,51.4618,47.1827,105.747,2884.5775,79.6098,228.2301,99.4775
2016-03-24,86.2185,0.0878,22.4408,51.109,47.2085,104.4478,2845.2105,80.9396,234.7225,100.1602
2016-03-25,86.6528,0.1422,22.0543,50.6348,46.7365,105.0063,2877.521,80.2623,237.9305,100.1273
2016-03-28,87.9787,0.2558,20.9098,50.207,46.3633,104.0561,2581.4119,79.938,235.0952,100.003
2016-03-29,87.4416,0.01,21.3715,49.2465,45.5137,104.0445,2713.1966,79.367,236.2723,99.2095
2016-03-30,87.198,0.11,21.739,48.578,44.9179,103.5682,2811.8808,80.6909,241.045,99.4999
2016-03-31,85.7767,0.01,22.786,49.373,45.121,104.0217,2947.8005,80.5274,239.3633,99.1005
2016-04-01,84.2079,0.0891,24.038,50.2961,45.3861,103.7406,2801.6148,83.7164,242.3099,99.9364
2016-04-04,85.1882,0.01,23.4305,50.2614,45.4743,103.3421,2717.6588,82.2421,239.2442,99.6798
